sales_id,order_id,product_id,price_per_unit,quantity_x,total_price,customer_id,payment,order_date,delivery_date,product_ID,product_type,product_name,size,colour,price,quantity_y,description,customer_name,gender,age,home_address,zip_code,city,state,country
10,2,157,91,3,273,473,50490,2021/2/3,2021/2/13,157,Shirt,Linen,M,green,116,42,"A green coloured, M sized, Linen Shirt",Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia
11,2,1174,99,2,198,473,50490,2021/2/3,2021/2/13,1174,Trousers,High-Waisted,XL,green,98,78,"A green coloured, XL sized, High-Waisted Trousers",Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia
12,3,54,104,1,104,774,46763,2021/10/8,2021/11/3,54,Shirt,Dress,XL,green,119,52,"A green coloured, XL sized, Dress Shirt",Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
13,3,6,96,2,192,774,46763,2021/10/8,2021/11/3,6,Shirt,Oxford Cloth,S,orange,114,72,"A orange coloured, S sized, Oxford Cloth Shirt",Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
14,3,1010,106,2,212,774,46763,2021/10/8,2021/11/3,1010,Trousers,Wool,XS,violet,111,80,"A violet coloured, XS sized, Wool Trousers",Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia
15,4,1033,90,1,90,433,39782,2021/5/6,2021/5/19,1033,Trousers,Relaxed Leg,L,green,95,62,"A green coloured, L sized, Relaxed Leg Trousers",Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia
16,4,1184,99,3,297,433,39782,2021/5/6,2021/5/19,1184,Trousers,High-Waisted,XL,indigo,98,57,"A indigo coloured, XL sized, High-Waisted Trousers",Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia
17,4,769,109,1,109,433,39782,2021/5/6,2021/5/19,769,Jacket,Peacoat,XL,violet,102,42,"A violet coloured, XL sized, Peacoat Jacket",Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia
18,4,923,96,3,288,433,39782,2021/5/6,2021/5/19,923,Trousers,Drawstring,L,yellow,104,68,"A yellow coloured, L sized, Drawstring Trousers",Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia
19,4,12,96,2,192,433,39782,2021/5/6,2021/5/19,12,Shirt,Oxford Cloth,M,yellow,114,56,"A yellow coloured, M sized, Oxford Cloth Shirt",Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia
20,5,148,91,2,182,441,14719,2021/3/23,2021/3/24,148,Shirt,Linen,L,orange,116,73,"A orange coloured, L sized, Linen Shirt",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
21,5,475,118,2,236,441,14719,2021/3/23,2021/3/24,475,Jacket,Puffer,XS,blue,110,57,"A blue coloured, XS sized, Puffer Jacket",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
22,5,1,96,3,288,441,14719,2021/3/23,2021/3/24,1,Shirt,Oxford Cloth,S,red,114,53,"A red coloured, S sized, Oxford Cloth Shirt",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
23,5,830,117,3,351,441,14719,2021/3/23,2021/3/24,830,Jacket,Shearling,XS,indigo,95,68,"A indigo coloured, XS sized, Shearling Jacket",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
24,5,1209,105,3,315,441,14719,2021/3/23,2021/3/24,1209,Trousers,Pleated,XL,green,90,55,"A green coloured, XL sized, Pleated Trousers",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
25,5,635,93,3,279,441,14719,2021/3/23,2021/3/24,635,Jacket,Coach,XS,orange,115,42,"A orange coloured, XS sized, Coach Jacket",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
26,5,639,93,3,279,441,14719,2021/3/23,2021/3/24,639,Jacket,Coach,XL,orange,115,46,"A orange coloured, XL sized, Coach Jacket",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
27,5,695,113,1,113,441,14719,2021/3/23,2021/3/24,695,Jacket,Parka,XS,violet,119,59,"A violet coloured, XS sized, Parka Jacket",Artemas Vasilischev,Bigender,53,33 Richards JunctionApt. 478,7650,South Rileyview,Western Australia,Australia
28,6,38,104,2,208,800,16197,2021/9/9,2021/10/5,38,Shirt,Dress,L,red,119,79,"A red coloured, L sized, Dress Shirt",Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia
29,6,473,118,2,236,800,16197,2021/9/9,2021/10/5,473,Jacket,Puffer,L,green,110,43,"A green coloured, L sized, Puffer Jacket",Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia
30,6,242,106,1,106,800,16197,2021/9/9,2021/10/5,242,Shirt,Chambray,M,violet,105,72,"A violet coloured, M sized, Chambray Shirt",Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia
31,6,804,91,2,182,800,16197,2021/9/9,2021/10/5,804,Jacket,Pullover,XL,violet,114,69,"A violet coloured, XL sized, Pullover Jacket",Katusha Ceney,Bigender,49,3570 Sarah AvenueApt. 092,4505,Daughertyport,Queensland,Australia
32,7,850,113,2,226,626,37666,2021/4/5,2021/4/11,850,Trousers,Chinos,XS,yellow,100,41,"A yellow coloured, XS sized, Chinos Trousers",Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia
33,7,1162,99,3,297,626,37666,2021/4/5,2021/4/11,1162,Trousers,High-Waisted,M,orange,98,69,"A orange coloured, M sized, High-Waisted Trousers",Tann Scothron,Genderqueer,64,72 Hunter Station StApt. 220,1807,Walterstad,New South Wales,Australia
34,8,765,109,1,109,58,28484,2021/4/12,2021/5/1,765,Jacket,Peacoat,XS,violet,102,54,"A violet coloured, XS sized, Peacoat Jacket",Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia
35,8,256,95,2,190,58,28484,2021/4/12,2021/5/1,256,Shirt,Polo,S,yellow,117,77,"A yellow coloured, S sized, Polo Shirt",Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia
36,9,203,98,1,98,852,12896,2021/5/1,2021/5/11,203,Shirt,Camp Collared,L,indigo,112,72,"A indigo coloured, L sized, Camp Collared Shirt",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
37,9,486,118,2,236,852,12896,2021/5/1,2021/5/11,486,Jacket,Puffer,S,violet,110,46,"A violet coloured, S sized, Puffer Jacket",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
38,9,708,119,1,119,852,12896,2021/5/1,2021/5/11,708,Jacket,Trench Coat,L,orange,112,70,"A orange coloured, L sized, Trench Coat Jacket",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
39,9,1040,90,2,180,852,12896,2021/5/1,2021/5/11,1040,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
40,9,917,96,3,288,852,12896,2021/5/1,2021/5/11,917,Trousers,Drawstring,M,orange,104,76,"A orange coloured, M sized, Drawstring Trousers",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
41,9,1061,93,2,186,852,12896,2021/5/1,2021/5/11,1061,Trousers,Joggers,S,yellow,94,76,"A yellow coloured, S sized, Joggers Trousers",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
42,9,35,104,2,208,852,12896,2021/5/1,2021/5/11,35,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",Lucas Cromly,Polygender,67,079 Chase MallApt. 902,8460,O'connertown,Tasmania,Australia
43,10,325,109,3,327,659,21922,2021/10/15,2021/10/16,325,Shirt,Mandarin Collar,XS,yellow,108,45,"A yellow coloured, XS sized, Mandarin Collar Shirt",Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia
44,10,860,113,2,226,659,21922,2021/10/15,2021/10/16,860,Trousers,Chinos,XS,blue,100,69,"A blue coloured, XS sized, Chinos Trousers",Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia
45,10,426,107,3,321,659,21922,2021/10/15,2021/10/16,426,Jacket,Denim,S,orange,92,51,"A orange coloured, S sized, Denim Jacket",Ira Dafforne,Non-binary,57,14 O'neill View RdApt. 908,9653,Sophiemouth,Tasmania,Australia
46,11,877,94,2,188,785,36624,2021/6/15,2021/6/30,877,Trousers,Cords,M,red,113,68,"A red coloured, M sized, Cords Trousers",Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia
47,11,780,91,3,273,785,36624,2021/6/15,2021/6/30,780,Jacket,Pullover,XS,yellow,114,65,"A yellow coloured, XS sized, Pullover Jacket",Jillana Blankau,Genderfluid,54,82 Beahan BoulevardSuite 281,2683,Port Adamburgh,Northern Territory,Australia
48,12,782,91,1,91,120,55507,2021/6/30,2021/7/11,782,Jacket,Pullover,M,yellow,114,49,"A yellow coloured, M sized, Pullover Jacket",Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia
49,12,632,93,2,186,120,55507,2021/6/30,2021/7/11,632,Jacket,Coach,M,red,115,76,"A red coloured, M sized, Coach Jacket",Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia
50,12,846,113,3,339,120,55507,2021/6/30,2021/7/11,846,Trousers,Chinos,S,orange,100,58,"A orange coloured, S sized, Chinos Trousers",Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia
51,12,180,98,1,98,120,55507,2021/6/30,2021/7/11,180,Shirt,Camp Collared,XS,orange,112,52,"A orange coloured, XS sized, Camp Collared Shirt",Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia
52,13,217,106,2,212,204,57810,2021/10/15,2021/10/31,217,Shirt,Chambray,M,orange,105,43,"A orange coloured, M sized, Chambray Shirt",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
53,13,95,118,3,354,204,57810,2021/10/15,2021/10/31,95,Shirt,Flannel,XS,indigo,96,46,"A indigo coloured, XS sized, Flannel Shirt",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
54,13,800,91,2,182,204,57810,2021/10/15,2021/10/31,800,Jacket,Pullover,XS,violet,114,61,"A violet coloured, XS sized, Pullover Jacket",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
55,13,835,117,1,117,204,57810,2021/10/15,2021/10/31,835,Jacket,Shearling,XS,violet,95,75,"A violet coloured, XS sized, Shearling Jacket",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
56,13,1249,112,2,224,204,57810,2021/10/15,2021/10/31,1249,Trousers,Tracksuit Bottoms,XL,blue,91,68,"A blue coloured, XL sized, Tracksuit Bottoms Trousers",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
57,13,753,109,2,218,204,57810,2021/10/15,2021/10/31,753,Jacket,Peacoat,L,green,102,73,"A green coloured, L sized, Peacoat Jacket",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
58,13,114,92,3,276,204,57810,2021/10/15,2021/10/31,114,Shirt,Denim,XL,orange,115,67,"A orange coloured, XL sized, Denim Shirt",Bird McGarvie,Female,60,889 Hermann Station StApt. 026,5120,East Jakeberg,New South Wales,Australia
59,14,1202,105,2,210,957,21270,2021/3/29,2021/4/12,1202,Trousers,Pleated,M,yellow,90,54,"A yellow coloured, M sized, Pleated Trousers",Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia
60,14,227,106,3,318,957,21270,2021/3/29,2021/4/12,227,Shirt,Chambray,M,green,105,56,"A green coloured, M sized, Chambray Shirt",Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia
61,14,108,92,2,184,957,21270,2021/3/29,2021/4/12,108,Shirt,Denim,L,red,115,52,"A red coloured, L sized, Denim Shirt",Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia
62,14,91,118,3,354,957,21270,2021/3/29,2021/4/12,91,Shirt,Flannel,S,blue,96,43,"A blue coloured, S sized, Flannel Shirt",Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia
63,14,909,94,2,188,957,21270,2021/3/29,2021/4/12,909,Trousers,Cords,XL,violet,113,73,"A violet coloured, XL sized, Cords Trousers",Felic Marrian,Male,75,5215 Mitchell TrackSuite 778,4220,Samanthaberg,South Australia,Australia
64,15,699,113,3,339,468,15488,2021/9/22,2021/10/8,699,Jacket,Parka,XL,violet,119,80,"A violet coloured, XL sized, Parka Jacket",Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia
65,15,1195,105,3,315,468,15488,2021/9/22,2021/10/8,1195,Trousers,Pleated,XS,orange,90,74,"A orange coloured, XS sized, Pleated Trousers",Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia
66,15,291,105,2,210,468,15488,2021/9/22,2021/10/8,291,Shirt,Cuban Collar,S,yellow,93,41,"A yellow coloured, S sized, Cuban Collar Shirt",Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia
67,15,972,97,3,291,468,15488,2021/9/22,2021/10/8,972,Trousers,Slim-Fit,M,indigo,119,67,"A indigo coloured, M sized, Slim-Fit Trousers",Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia
68,15,1212,105,2,210,468,15488,2021/9/22,2021/10/8,1212,Trousers,Pleated,M,blue,90,66,"A blue coloured, M sized, Pleated Trousers",Maegan Ashton,Genderqueer,67,06 Ebert CrestSuite 385,5607,West Isla,Tasmania,Australia
69,16,7,96,3,288,564,36479,2021/7/7,2021/7/8,7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
70,16,381,94,3,282,564,36479,2021/7/7,2021/7/8,381,Shirt,Henley,S,violet,92,43,"A violet coloured, S sized, Henley Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
71,16,17,96,2,192,564,36479,2021/7/7,2021/7/8,17,Shirt,Oxford Cloth,M,green,114,60,"A green coloured, M sized, Oxford Cloth Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
72,16,297,105,2,210,564,36479,2021/7/7,2021/7/8,297,Shirt,Cuban Collar,M,green,93,45,"A green coloured, M sized, Cuban Collar Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
73,16,28,96,1,96,564,36479,2021/7/7,2021/7/8,28,Shirt,Oxford Cloth,L,indigo,114,70,"A indigo coloured, L sized, Oxford Cloth Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
74,16,934,96,1,96,564,36479,2021/7/7,2021/7/8,934,Trousers,Drawstring,XL,blue,104,60,"A blue coloured, XL sized, Drawstring Trousers",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
75,16,324,109,3,327,564,36479,2021/7/7,2021/7/8,324,Shirt,Mandarin Collar,XL,orange,108,59,"A orange coloured, XL sized, Mandarin Collar Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
76,16,578,100,2,200,564,36479,2021/7/7,2021/7/8,578,Jacket,Bomber,L,green,90,78,"A green coloured, L sized, Bomber Jacket",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
77,16,273,95,1,95,564,36479,2021/7/7,2021/7/8,273,Shirt,Polo,L,indigo,117,60,"A indigo coloured, L sized, Polo Shirt",Shoshana Redsell,Bigender,34,65 Schroeder WayApt. 552,4054,North Marcusland,Northern Territory,Australia
78,17,132,92,2,184,614,51822,2021/2/9,2021/2/11,132,Shirt,Denim,M,indigo,115,56,"A indigo coloured, M sized, Denim Shirt",Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia
79,17,791,91,2,182,614,51822,2021/2/9,2021/2/11,791,Jacket,Pullover,S,blue,114,73,"A blue coloured, S sized, Pullover Jacket",Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia
80,17,463,118,1,118,614,51822,2021/2/9,2021/2/11,463,Jacket,Puffer,L,orange,110,66,"A orange coloured, L sized, Puffer Jacket",Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia
81,17,1066,93,2,186,614,51822,2021/2/9,2021/2/11,1066,Trousers,Joggers,S,green,94,76,"A green coloured, S sized, Joggers Trousers",Sherwynd Batsford,Polygender,45,627 Weber PassApt. 498,7529,Samuelside,New South Wales,Australia
82,18,35,104,1,104,299,22902,2021/1/1,2021/1/3,35,Shirt,Dress,XS,red,119,63,"A red coloured, XS sized, Dress Shirt",Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia
83,18,970,97,3,291,299,22902,2021/1/1,2021/1/3,970,Trousers,Slim-Fit,XS,indigo,119,74,"A indigo coloured, XS sized, Slim-Fit Trousers",Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia
84,18,285,105,1,105,299,22902,2021/1/1,2021/1/3,285,Shirt,Cuban Collar,XS,orange,93,62,"A orange coloured, XS sized, Cuban Collar Shirt",Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia
85,18,1110,115,3,345,299,22902,2021/1/1,2021/1/3,1110,Trousers,Cropped,XS,indigo,99,55,"A indigo coloured, XS sized, Cropped Trousers",Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia
86,18,452,107,1,107,299,22902,2021/1/1,2021/1/3,452,Jacket,Denim,M,violet,92,43,"A violet coloured, M sized, Denim Jacket",Anny Midden,Non-binary,32,810 Jasper CircleSuite 777,89,Lake Amelia,Victoria,Australia
87,19,71,118,1,118,513,56754,2021/8/30,2021/9/10,71,Shirt,Flannel,S,red,96,59,"A red coloured, S sized, Flannel Shirt",Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia
88,19,347,109,2,218,513,56754,2021/8/30,2021/9/10,347,Shirt,Mandarin Collar,M,violet,108,76,"A violet coloured, M sized, Mandarin Collar Shirt",Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia
89,19,316,109,2,218,513,56754,2021/8/30,2021/9/10,316,Shirt,Mandarin Collar,S,red,108,48,"A red coloured, S sized, Mandarin Collar Shirt",Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia
90,19,809,117,3,351,513,56754,2021/8/30,2021/9/10,809,Jacket,Shearling,XL,red,95,42,"A red coloured, XL sized, Shearling Jacket",Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia
91,19,682,113,3,339,513,56754,2021/8/30,2021/9/10,682,Jacket,Parka,M,green,119,71,"A green coloured, M sized, Parka Jacket",Corri Womack,Non-binary,39,051 White WayApt. 392,2358,Port Ali,Tasmania,Australia
92,20,596,112,2,224,789,45129,2021/1/13,2021/1/20,596,Jacket,Cardigan,S,red,118,47,"A red coloured, S sized, Cardigan Jacket",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
93,20,85,118,3,354,789,45129,2021/1/13,2021/1/20,85,Shirt,Flannel,XS,green,96,55,"A green coloured, XS sized, Flannel Shirt",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
94,20,571,100,1,100,789,45129,2021/1/13,2021/1/20,571,Jacket,Bomber,S,yellow,90,64,"A yellow coloured, S sized, Bomber Jacket",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
95,20,1114,115,3,345,789,45129,2021/1/13,2021/1/20,1114,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
96,20,514,102,3,306,789,45129,2021/1/13,2021/1/20,514,Jacket,Windbreaker,XL,blue,109,59,"A blue coloured, XL sized, Windbreaker Jacket",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
97,20,681,113,1,113,789,45129,2021/1/13,2021/1/20,681,Jacket,Parka,S,green,119,62,"A green coloured, S sized, Parka Jacket",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
98,20,1114,115,1,115,789,45129,2021/1/13,2021/1/20,1114,Trousers,Cropped,XL,indigo,99,58,"A indigo coloured, XL sized, Cropped Trousers",Bone Perche,Genderqueer,36,638 Thomas ManorApt. 038,1438,Aliceland,Western Australia,Australia
99,21,7,96,1,96,124,11261,2021/4/4,2021/4/17,7,Shirt,Oxford Cloth,M,orange,114,77,"A orange coloured, M sized, Oxford Cloth Shirt",Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia
100,21,298,105,2,210,124,11261,2021/4/4,2021/4/17,298,Shirt,Cuban Collar,L,green,93,58,"A green coloured, L sized, Cuban Collar Shirt",Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia
101,21,906,94,2,188,124,11261,2021/4/4,2021/4/17,906,Trousers,Cords,S,violet,113,65,"A violet coloured, S sized, Cords Trousers",Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia
102,22,20,96,1,96,180,36088,2021/5/28,2021/6/9,20,Shirt,Oxford Cloth,XS,blue,114,47,"A blue coloured, XS sized, Oxford Cloth Shirt",Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia
103,22,1040,90,2,180,180,36088,2021/5/28,2021/6/9,1040,Trousers,Relaxed Leg,XS,indigo,95,60,"A indigo coloured, XS sized, Relaxed Leg Trousers",Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia
104,22,134,92,1,92,180,36088,2021/5/28,2021/6/9,134,Shirt,Denim,XL,indigo,115,58,"A indigo coloured, XL sized, Denim Shirt",Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia
105,22,172,91,2,182,180,36088,2021/5/28,2021/6/9,172,Shirt,Linen,M,violet,116,44,"A violet coloured, M sized, Linen Shirt",Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia
106,22,321,109,3,327,180,36088,2021/5/28,2021/6/9,321,Shirt,Mandarin Collar,S,orange,108,52,"A orange coloured, S sized, Mandarin Collar Shirt",Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia
107,22,912,96,1,96,180,36088,2021/5/28,2021/6/9,912,Trousers,Drawstring,M,red,104,70,"A red coloured, M sized, Drawstring Trousers",Nelli Engall,Genderfluid,21,58 Jett RoadApt. 448,932,Chasemouth,Western Australia,Australia
108,23,238,106,2,212,652,45711,2021/5/17,2021/5/22,238,Shirt,Chambray,L,indigo,105,79,"A indigo coloured, L sized, Chambray Shirt",Roley Cassedy,Male,63,59 Abbott CircuitApt. 084,9830,North Isabelleside,South Australia,Australia
